"caller","callee","timestamp","duration"
"089-1000004","089-1000449","2016-02-16 17:22",102.0
"089-1000004","089-1000491","2016-2-10 0:35",146.0
"089-1000004","089-1000043","2016-01-16 16:59",149.0
"089-1000004","089-1000154","2016-02-26 12:54",1.0
"089-1000004","089-1000176","2016-02-18 07:23",4.0
"089-1000004","089-1000185","2016-01-17 07:07",26.0
"089-1000004","089-1000043","2016-01-16 16:59",682.0
"089-1000004","089-1000267","2016-1-3 11:55",718.0
"089-1000005","089-1000019","2016-02-22 14:39",530.0
"089-1000005","089-1000059","2016-01-26 10:45",54.0
"089-1000005","089-1000059","2016-01-26 10:45",78.0
"089-1000005","089-1000067","2016-2-10 5:55",229.0
"089-1000005","089-1000099","2016-2-1 23:59",276.0
"089-1000005","089-1000109","2016-2-8 15:13",97.0
"089-1000005","089-1000182","2016-01-17 22:08",38.0
"089-1000005","089-1000307","2016-02-26 17:33",113.0
"089-1000005","089-1000307","2016-01-16 19:35",144.0
"089-1000005","089-1000307","2016-02-26 17:33",56.0
"089-1000005","089-1000345","2016-1-9 5:36",44.0
"089-1000005","089-1000400","2016-01-14 20:13",215.0
"089-1000005","089-1000423","2016-01-16 23:56",45.0
"089-1000005","089-1000059","2016-01-26 10:45",26.0
"089-1000005","089-1000059","2016-01-26 10:45",66.0
"089-1000005","089-1000109","2016-2-8 15:13",59.0
"089-1000005","089-1000159","2016-1-4 1:47",113.0
"089-1000005","089-1000194","2016-01-22 14:26",5.0
"089-1000005","089-1000253","2016-01-14 15:41",767.0
"089-1000005","089-1000067","2016-2-10 5:55",621.0
"089-1000006","089-1000010","2016-1-10 10:14",32.0
"089-1000006","089-1000010","2016-1-10 10:14",68.0
"089-1000006","089-1000097","2016-01-27 00:48",118.0
"089-1000006","089-1000101","2016-1-7 1:23",19.0
"089-1000006","089-1000136","2016-1-5 2:11",131.0
"089-1000006","089-1000136","2016-1-5 2:11",89.0
"089-1000006","089-1000162","2016-01-27 02:58",495.0
"089-1000006","089-1000214","2016-01-28 13:00",861.0
"089-1000006","089-1000239","2016-01-16 12:39",177.0
"089-1000006","089-1000297","2016-02-15 01:31",364.0
"089-1000006","089-1000335","2016-2-9 4:12",21.0
"089-1000006","089-1000335","2016-2-9 4:12",60.0
"089-1000006","089-1000336","2016-02-14 21:52",41.0
"089-1000006","089-1000422","2016-1-8 10:47",73.0
"089-1000006","089-1000010","2016-1-10 10:14",9.0
"089-1000006","089-1000033","2016-01-18 08:18",54.0
"089-1000006","089-1000071","2016-02-27 12:27",6.0
"089-1000006","089-1000101","2016-1-7 1:23",114.0
"089-1000006","089-1000422","2016-1-8 10:47",180.0
"089-1000007","089-1000123","2016-2-4 19:10",449.0
"089-1000007","089-1000289","2016-01-20 17:18",407.0
"089-1000007","089-1000289","2016-2-4 14:47",232.0
"089-1000007","089-1000305","2016-2-9 13:20",332.0
"089-1000007","089-1000329","2016-1-2 22:55",113.0
"089-1000007","089-1000335","2016-2-6 18:34",179.0
"089-1000007","089-1000387","2016-02-21 01:55",1173.0
"089-1000007","089-1000410","2016-02-23 06:49",79.0
"089-1000007","089-1000444","2016-02-19 18:38",144.0
"089-1000007","089-1000478","2016-1-12 12:27",185.0
"089-1000007","089-1000478","2016-1-12 12:27",142.0
"089-1000007","089-1000479","2016-2-5 19:26",72.0
"089-1000007","089-1000037","2016-1-3 11:08",2.0
"089-1000007","089-1000123","2016-2-4 19:10",146.0
"089-1000007","089-1000289","2016-2-4 14:47",1051.0
"089-1000007","089-1000202","2016-2-4 4:00",502.0
"089-1000007","089-1000410","2016-02-23 06:49",453.0
"089-1000007","089-1000144","2016-01-13 06:47",663.0
"089-1000008","089-1000008","2016-1-11 21:10",19.0
"089-1000008","089-1000019","2016-1-11 4:30",244.0
"089-1000008","089-1000019","2016-1-11 4:30",38.0
"089-1000008","089-1000024","2016-1-3 22:28",408.0
"089-1000008","089-1000048","2016-02-27 19:06",358.0
"089-1000008","089-1000121","2016-2-11 18:47",76.0
"089-1000008","089-1000121","2016-2-11 18:47",26.0
"089-1000008","089-1000135","2016-01-26 05:48",65.0
"089-1000008","089-1000154","2016-01-18 09:55",105.0
"089-1000008","089-1000167","2016-02-17 08:12",857.0
"089-1000008","089-1000224","2016-02-20 23:14",78.0
"089-1000008","089-1000242","2016-1-1 21:52",74.0
"089-1000008","089-1000319","2016-2-9 23:57",427.0
"089-1000008","089-1000326","2016-02-15 04:34",118.0
"089-1000008","089-1000003","2016-02-13 17:20",810.0
"089-1000008","089-1000008","2016-1-11 21:10",4.0
"089-1000008","089-1000024","2016-1-3 22:28",333.0
"089-1000008","089-1000046","2016-01-18 08:51",127.0
"089-1000008","089-1000072","2016-02-27 04:46",344.0
"089-1000008","089-1000135","2016-01-26 05:48",508.0
"089-1000008","089-1000154","2016-01-18 09:55",26.0
"089-1000008","089-1000167","2016-02-17 08:12",334.0
"089-1000008","089-1000303","2016-1-12 23:34",935.0
"089-1000008","089-1000135","2016-01-26 05:48",415.0
"089-1000009","089-1000115","2016-01-21 18:07",19.0
"089-1000009","089-1000118","2016-01-14 11:56",120.0
"089-1000009","089-1000119","2016-2-2 5:26",78.0
"089-1000009","089-1000135","2016-01-13 01:32",524.0
"089-1000009","089-1000184","2016-02-27 13:35",351.0
"089-1000009","089-1000191","2016-2-5 11:10",719.0
"089-1000009","089-1000215","2016-1-1 18:00",379.0
"089-1000009","089-1000237","2016-02-19 11:20",532.0
"089-1000009","089-1000240","2016-02-16 13:56",137.0
"089-1000009","089-1000256","2016-01-30 16:06",76.0
"089-1000009","089-1000327","2016-1-8 19:37",649.0
"089-1000009","089-1000428","2016-02-19 07:07",57.0
"089-1000009","089-1000454","2016-02-28 21:48",40.0
"089-1000009","089-1000454","2016-02-28 21:48",9.0
"089-1000009","089-1000115","2016-01-21 18:07",27.0
"089-1000009","089-1000117","2016-02-26 17:06",120.0
"089-1000009","089-1000118","2016-01-14 11:56",139.0
"089-1000009","089-1000119","2016-2-2 5:26",224.0
"089-1000009","089-1000173","2016-02-26 18:27",193.0
"089-1000009","089-1000184","2016-02-27 13:35",382.0
"089-1000009","089-1000191","2016-2-5 11:10",159.0
"089-1000009","089-1000194","2016-2-12 7:27",279.0
"089-1000009","089-1000191","2016-2-5 11:10",586.0
"089-1000009","089-1000173","2016-02-26 18:27",406.0
"089-1000009","089-1000256","2016-01-30 16:06",717.0
"089-1000009","089-1000117","2016-02-26 17:06",146.0
"089-1000010","089-1000011","2016-1-7 9:13",190.0
"089-1000010","089-1000195","2016-01-24 22:57",78.0
"089-1000010","089-1000274","2016-01-29 06:23",116.0
"089-1000010","089-1000471","2016-02-21 12:25",531.0
"089-1000010","089-1000480","2016-2-7 12:43",47.0
"089-1000010","089-1000011","2016-1-7 9:13",73.0
"089-1000010","089-1000036","2016-01-18 16:42",94.0
"089-1000010","089-1000195","2016-01-24 22:57",290.0
"089-1000010","089-1000386","2016-2-3 21:47",442.0
"089-1000011","089-1000029","2016-1-11 12:50",661.0
"089-1000011","089-1000056","2016-1-8 22:28",45.0
"089-1000011","089-1000076","2016-02-17 20:47",219.0
"089-1000011","089-1000108","2016-02-20 16:21",309.0
"089-1000011","089-1000210","2016-2-4 7:36",120.0
"089-1000011","089-1000461","2016-02-18 20:19",121.0
"089-1000011","089-1000465","2016-1-3 23:13",324.0
"089-1000011","089-1000029","2016-1-11 12:50",123.0
"089-1000011","089-1000056","2016-1-8 22:28",147.0
"089-1000011","089-1000076","2016-02-17 20:47",119.0
"089-1000011","089-1000076","2016-02-17 20:47",123.0
"089-1000011","089-1000095","2016-01-19 02:26",749.0
"089-1000011","089-1000461","2016-02-18 20:19",795.0
"089-1000011","089-1000228","2016-1-6 18:33",482.0
"089-1000011","089-1000076","2016-02-17 20:47",161.0
"089-1000011","089-1000108","2016-02-20 16:21",988.0
"089-1000012","089-1000128","2016-02-19 02:23",3.0
"089-1000012","089-1000128","2016-02-19 02:23",27.0
"089-1000012","089-1000159","2016-2-4 20:16",215.0
"089-1000012","089-1000180","2016-2-5 9:12",59.0
"089-1000012","089-1000266","2016-2-8 13:11",27.0
"089-1000012","089-1000293","2016-02-20 15:13",293.0
"089-1000012","089-1000346","2016-1-1 3:35",469.0
"089-1000012","089-1000363","2016-01-29 11:36",225.0
"089-1000012","089-1000480","2016-01-17 14:41",102.0
"089-1000012","089-1000480","2016-01-17 14:41",33.0
"089-1000012","089-1000488","2016-01-24 00:46",37.0
"089-1000012","089-1000068","2016-02-13 02:38",173.0
"089-1000012","089-1000128","2016-02-19 02:23",56.0
"089-1000012","089-1000128","2016-02-19 02:23",25.0
"089-1000012","089-1000159","2016-2-4 20:16",218.0
"089-1000012","089-1000180","2016-2-5 9:12",24.0
"089-1000012","089-1000231","2016-2-2 12:16",994.0
"089-1000012","089-1000128","2016-02-19 02:23",48.0
"089-1000013","089-1000000","2016-1-11 0:20",338.0
"089-1000013","089-1000013","2016-01-23 04:49",777.0
"089-1000013","089-1000028","2016-02-27 12:51",267.0
"089-1000013","089-1000030","2016-02-17 05:42",905.0
"089-1000013","089-1000122","2016-01-27 16:54",232.0
"089-1000013","089-1000286","2016-01-31 07:10",22.0
"089-1000013","089-1000286","2016-01-31 07:10",71.0
"089-1000013","089-1000350","2016-02-20 21:49",9.0
"089-1000013","089-1000350","2016-02-20 21:49",104.0
"089-1000013","089-1000383","2016-02-24 21:32",53.0
"089-1000013","089-1000000","2016-1-11 0:20",321.0
"089-1000013","089-1000013","2016-01-23 04:49",15.0
"089-1000013","089-1000030","2016-02-17 05:42",119.0
"089-1000013","089-1000255","2016-1-8 22:32",210.0
"089-1000013","089-1000321","2016-01-20 21:06",639.0
"089-1000013","089-1000016","2016-1-6 14:58",150.0
"089-1000013","089-1000265","2016-2-6 15:16",17.0
"089-1000013","089-1000286","2016-01-31 07:10",18.0
"089-1000014","089-1000041","2016-02-24 11:49",79.0
"089-1000014","089-1000138","2016-1-2 15:42",210.0
"089-1000014","089-1000138","2016-1-2 15:42",205.0
"089-1000014","089-1000168","2016-01-30 03:59",231.0
"089-1000014","089-1000168","2016-01-30 03:59",161.0
"089-1000014","089-1000246","2016-1-10 4:40",51.0
"089-1000014","089-1000320","2016-02-24 22:17",399.0
"089-1000014","089-1000333","2016-1-9 19:23",114.0
"089-1000014","089-1000378","2016-02-20 03:20",81.0
"089-1000014","089-1000378","2016-02-20 03:20",87.0
"089-1000014","089-1000384","2016-1-5 10:13",473.0
"089-1000014","089-1000040","2016-01-29 07:29",12.0
"089-1000014","089-1000138","2016-1-2 15:42",11.0
"089-1000014","089-1000155","2016-01-15 03:08",173.0
"089-1000014","089-1000168","2016-01-30 03:59",65.0
"089-1000015","089-1000171","2016-01-18 10:56",101.0
"089-1000015","089-1000287","2016-02-21 05:09",57.0
"089-1000015","089-1000307","2016-02-15 10:05",153.0
"089-1000015","089-1000460","2016-01-21 13:12",217.0
"089-1000015","089-1000035","2016-01-30 16:49",108.0
"089-1000015","089-1000171","2016-01-18 10:56",77.0
"089-1000016","089-1000004","2016-02-25 21:05",683.0
"089-1000016","089-1000095","2016-2-2 8:27",163.0
"089-1000016","089-1000157","2016-02-21 09:27",330.0
"089-1000016","089-1000214","2016-1-1 14:22",103.0
"089-1000016","089-1000235","2016-1-3 8:34",337.0
"089-1000016","089-1000277","2016-02-20 21:08",249.0
"089-1000016","089-1000281","2016-02-27 05:57",68.0
"089-1000016","089-1000284","2016-02-28 10:12",203.0
"089-1000016","089-1000297","2016-02-20 21:15",68.0
"089-1000016","089-1000302","2016-1-8 14:39",7.0
"089-1000016","089-1000331","2016-01-29 11:24",139.0
"089-1000016","089-1000373","2016-1-2 9:17",193.0
"089-1000016","089-1000410","2016-2-9 9:40",532.0
"089-1000016","089-1000004","2016-02-25 21:05",28.0
"089-1000016","089-1000095","2016-2-2 8:27",96.0
"089-1000016","089-1000157","2016-02-21 09:27",16.0
"089-1000016","089-1000175","2016-2-7 1:36",52.0
"089-1000016","089-1000297","2016-02-20 21:15",115.0
"089-1000017","089-1000041","2016-01-31 03:44",487.0
"089-1000017","089-1000103","2016-1-3 13:09",21.0
"089-1000017","089-1000113","2016-2-7 23:28",128.0
"089-1000017","089-1000119","2016-1-8 10:53",255.0
"089-1000017","089-1000119","2016-01-21 13:51",11.0
"089-1000017","089-1000164","2016-01-31 13:54",220.0
"089-1000017","089-1000231","2016-02-21 06:05",525.0
"089-1000017","089-1000260","2016-1-8 4:40",426.0
"089-1000017","089-1000334","2016-02-27 13:10",506.0
"089-1000017","089-1000418","2016-01-19 07:38",336.0
"089-1000017","089-1000424","2016-01-21 22:26",3.0
"089-1000017","089-1000091","2016-01-14 04:00",55.0
"089-1000017","089-1000119","2016-01-21 13:51",18.0
"089-1000017","089-1000130","2016-02-29 10:40",151.0
"089-1000017","089-1000164","2016-01-31 13:54",382.0
"089-1000017","089-1000167","2016-02-27 17:15",28.0
"089-1000017","089-1000103","2016-1-3 13:09",129.0
"089-1000018","089-1000121","2016-02-27 09:32",130.0
"089-1000018","089-1000145","2016-2-12 2:19",179.0
"089-1000018","089-1000146","2016-2-9 15:51",552.0
"089-1000018","089-1000156","2016-02-17 09:01",77.0
"089-1000018","089-1000157","2016-02-23 15:14",45.0
"089-1000018","089-1000157","2016-02-23 15:14",109.0
"089-1000018","089-1000220","2016-2-3 10:32",85.0
"089-1000018","089-1000307","2016-01-24 09:46",10.0
"089-1000018","089-1000307","2016-01-24 09:46",26.0
"089-1000018","089-1000400","2016-02-27 22:26",63.0
"089-1000018","089-1000082","2016-01-27 08:13",577.0
"089-1000018","089-1000121","2016-02-27 09:32",79.0
"089-1000018","089-1000145","2016-2-12 2:19",500.0
"089-1000018","089-1000156","2016-02-17 09:01",131.0
"089-1000018","089-1000157","2016-02-23 15:14",35.0
"089-1000018","089-1000157","2016-02-23 15:14",49.0
"089-1000018","089-1000184","2016-01-20 04:36",26.0
"089-1000018","089-1000404","2016-01-26 13:39",196.0
"089-1000019","089-1000041","2016-1-8 3:45",75.0
"089-1000019","089-1000041","2016-1-8 3:45",80.0
"089-1000019","089-1000048","2016-02-26 03:27",609.0
"089-1000019","089-1000119","2016-01-30 20:07",376.0
"089-1000019","089-1000161","2016-1-1 20:28",804.0
"089-1000019","089-1000285","2016-1-12 22:25",124.0
"089-1000019","089-1000311","2016-02-18 14:39",12.0
"089-1000019","089-1000319","2016-1-2 11:05",77.0
"089-1000019","089-1000319","2016-1-2 11:05",81.0
"089-1000019","089-1000368","2016-1-11 17:37",260.0
"089-1000019","089-1000396","2016-1-12 18:45",14.0
"089-1000019","089-1000396","2016-1-12 18:45",2.0
"089-1000019","089-1000427","2016-2-5 0:03",57.0
"089-1000019","089-1000040","2016-02-16 23:06",179.0
"089-1000019","089-1000068","2016-02-22 07:46",646.0
"089-1000019","089-1000119","2016-01-30 20:07",408.0
"089-1000019","089-1000161","2016-1-1 20:28",96.0
"089-1000019","089-1000041","2016-1-8 3:45",172.0
"089-1000019","089-1000319","2016-1-2 11:05",259.0
"089-1000019","089-1000058","2016-1-12 6:22",1067.0
"089-1000019","089-1000161","2016-1-1 20:28",488.0
"089-1000020","089-1000016","2016-01-22 15:55",396.0
"089-1000020","089-1000125","2016-02-23 15:32",11.0
"089-1000020","089-1000125","2016-02-29 05:50",969.0
"089-1000020","089-1000133","2016-2-7 0:43",353.0
"089-1000020","089-1000152","2016-2-10 22:43",7.0
"089-1000020","089-1000261","2016-2-12 19:12",25.0
"089-1000020","089-1000344","2016-01-25 23:58",24.0
"089-1000020","089-1000394","2016-01-29 18:53",396.0
"089-1000020","089-1000436","2016-01-28 15:28",55.0
"089-1000020","089-1000457","2016-2-5 23:31",111.0
"089-1000020","089-1000497","2016-1-7 11:32",14.0
"089-1000020","089-1000011","2016-2-6 7:17",456.0
"089-1000020","089-1000016","2016-01-22 15:55",326.0
"089-1000020","089-1000125","2016-02-23 15:32",5.0
"089-1000020","089-1000133","2016-2-7 0:43",58.0
"089-1000020","089-1000152","2016-2-10 22:43",23.0
"089-1000020","089-1000366","2016-2-6 23:05",329.0
"089-1000020","089-1000017","2016-02-14 09:06",675.0
"089-1000020","089-1000252","2016-02-16 18:15",349.0
"089-1000020","089-1000497","2016-1-7 11:32",427.0
"089-1000021","089-1000013","2016-01-25 20:51",216.0
"089-1000021","089-1000057","2016-02-15 23:48",16.0
"089-1000021","089-1000068","2016-1-1 21:31",53.0
"089-1000021","089-1000068","2016-1-1 21:31",82.0
"089-1000021","089-1000108","2016-02-25 03:22",152.0
"089-1000021","089-1000120","2016-2-6 23:37",112.0
"089-1000021","089-1000140","2016-2-9 5:54",83.0
"089-1000021","089-1000141","2016-01-15 03:50",60.0
"089-1000021","089-1000227","2016-01-25 06:06",43.0
"089-1000021","089-1000342","2016-01-26 17:47",22.0
"089-1000021","089-1000439","2016-01-26 09:09",2.0
"089-1000021","089-1000458","2016-2-6 7:10",58.0
"089-1000021","089-1000458","2016-2-6 7:10",4.0
"089-1000021","089-1000013","2016-01-25 20:51",38.0
"089-1000021","089-1000050","2016-1-9 20:25",190.0
"089-1000021","089-1000057","2016-02-15 23:48",14.0
"089-1000021","089-1000068","2016-1-1 21:31",50.0
"089-1000021","089-1000068","2016-1-1 21:31",59.0
"089-1000021","089-1000078","2016-01-31 18:37",207.0
"089-1000021","089-1000108","2016-02-25 03:22",442.0
"089-1000021","089-1000120","2016-2-6 23:37",256.0
"089-1000021","089-1000141","2016-01-15 03:50",104.0
"089-1000021","089-1000141","2016-01-15 03:50",25.0
"089-1000021","089-1000274","2016-2-10 14:20",577.0
"089-1000022","089-1000063","2016-01-30 16:43",23.0
"089-1000022","089-1000107","2016-01-16 22:57",39.0
"089-1000022","089-1000174","2016-01-13 01:04",80.0
"089-1000022","089-1000174","2016-01-13 01:04",50.0
"089-1000022","089-1000195","2016-1-11 16:30",23.0
"089-1000022","089-1000243","2016-02-14 15:05",454.0
"089-1000022","089-1000316","2016-02-18 13:02",372.0
"089-1000022","089-1000323","2016-2-4 16:41",310.0
"089-1000022","089-1000330","2016-02-22 17:06",119.0
"089-1000022","089-1000351","2016-1-7 9:04",11.0
"089-1000022","089-1000389","2016-2-6 23:21",138.0
"089-1000022","089-1000389","2016-2-6 23:21",100.0
"089-1000022","089-1000063","2016-01-30 16:43",581.0
"089-1000022","089-1000311","2016-01-14 18:14",310.0
"089-1000022","089-1000243","2016-02-14 15:05",769.0
"089-1000022","089-1000234","2016-01-15 03:58",330.0
"089-1000022","089-1000323","2016-2-4 16:41",742.0
"089-1000023","089-1000045","2016-02-20 08:56",23.0
"089-1000023","089-1000098","2016-01-28 19:53",434.0
"089-1000023","089-1000115","2016-2-7 13:55",393.0
"089-1000023","089-1000148","2016-02-21 04:57",199.0
"089-1000023","089-1000252","2016-02-19 11:59",70.0
"089-1000023","089-1000274","2016-1-8 8:39",175.0
"089-1000023","089-1000320","2016-2-2 22:49",16.0
"089-1000023","089-1000337","2016-1-6 14:56",286.0
"089-1000023","089-1000422","2016-2-5 5:51",11.0
"089-1000023","089-1000422","2016-2-5 5:51",25.0
"089-1000023","089-1000477","2016-2-4 23:31",57.0
"089-1000023","089-1000492","2016-02-23 19:42",903.0
"089-1000023","089-1000045","2016-02-20 08:56",275.0
"089-1000023","089-1000098","2016-01-28 19:53",146.0
"089-1000023","089-1000138","2016-01-18 14:58",136.0
"089-1000023","089-1000148","2016-02-21 04:57",20.0
"089-1000023","089-1000138","2016-01-18 14:58",444.0
"089-1000024","089-1000044","2016-01-14 13:34",18.0
"089-1000024","089-1000085","2016-02-28 11:26",307.0
"089-1000024","089-1000382","2016-1-4 3:51",424.0
"089-1000024","089-1000409","2016-01-31 09:55",12.0
"089-1000024","089-1000467","2016-01-17 20:47",66.0
"089-1000024","089-1000467","2016-1-4 0:30",189.0
"089-1000024","089-1000044","2016-01-14 13:34",49.0
"089-1000024","089-1000044","2016-02-26 11:04",446.0
"089-1000024","089-1000044","2016-01-14 13:34",46.0
"089-1000024","089-1000055","2016-02-27 10:20",71.0
"089-1000024","089-1000094","2016-2-6 1:33",230.0
"089-1000024","089-1000095","2016-02-27 15:39",169.0
"089-1000024","089-1000044","2016-01-14 13:34",41.0
"089-1000025","089-1000000","2016-2-1 23:12",548.0
"089-1000025","089-1000017","2016-01-20 04:07",168.0
"089-1000025","089-1000027","2016-2-11 10:10",799.0
"089-1000025","089-1000047","2016-02-13 05:37",246.0
"089-1000025","089-1000047","2016-02-13 05:37",180.0
"089-1000025","089-1000084","2016-02-13 22:43",4.0
"089-1000025","089-1000170","2016-1-5 9:27",980.0
"089-1000025","089-1000187","2016-01-22 00:23",62.0
"089-1000025","089-1000212","2016-1-1 6:52",447.0
"089-1000025","089-1000304","2016-2-12 11:08",280.0
"089-1000025","089-1000489","2016-01-25 15:51",93.0
"089-1000025","089-1000024","2016-01-22 05:59",712.0
"089-1000025","089-1000047","2016-02-13 05:37",28.0
"089-1000025","089-1000170","2016-1-5 9:27",630.0
"089-1000025","089-1000187","2016-01-22 00:23",264.0
"089-1000025","089-1000191","2016-01-26 15:37",425.0
"089-1000025","089-1000027","2016-2-11 10:10",882.0
"089-1000026","089-1000018","2016-2-6 11:38",858.0
"089-1000026","089-1000104","2016-1-5 6:57",318.0
"089-1000026","089-1000105","2016-01-27 23:25",9.0
"089-1000026","089-1000144","2016-02-26 08:10",184.0
"089-1000026","089-1000145","2016-01-25 03:47",153.0
"089-1000026","089-1000203","2016-01-19 04:20",83.0
"089-1000026","089-1000208","2016-02-22 07:31",54.0
"089-1000026","089-1000335","2016-1-2 16:11",17.0
"089-1000026","089-1000342","2016-1-8 10:29",35.0
"089-1000026","089-1000372","2016-1-7 2:15",37.0
"089-1000026","089-1000104","2016-1-5 6:57",180.0
"089-1000026","089-1000132","2016-02-19 11:18",123.0
"089-1000026","089-1000134","2016-01-24 13:33",150.0
"089-1000026","089-1000144","2016-02-26 08:10",166.0
"089-1000026","089-1000145","2016-01-25 03:47",125.0
"089-1000026","089-1000104","2016-1-5 6:57",420.0
"089-1000026","089-1000018","2016-2-6 11:38",541.0
"089-1000026","089-1000208","2016-02-22 07:31",479.0
"089-1000026","089-1000145","2016-01-25 03:47",299.0
"089-1000026","089-1000300","2016-2-12 13:22",643.0
"089-1000027","089-1000058","2016-2-4 19:55",182.0
"089-1000027","089-1000062","2016-01-17 09:26",222.0
"089-1000027","089-1000063","2016-02-21 07:54",459.0
"089-1000027","089-1000069","2016-2-6 6:24",663.0
"089-1000027","089-1000071","2016-1-9 10:41",103.0
"089-1000027","089-1000099","2016-01-24 17:31",956.0
"089-1000027","089-1000103","2016-02-17 21:52",89.0
"089-1000027","089-1000110","2016-2-2 17:29",20.0
"089-1000027","089-1000134","2016-2-1 2:41",42.0
"089-1000027","089-1000134","2016-2-1 2:41",61.0
"089-1000027","089-1000370","2016-2-2 17:34",278.0
"089-1000027","089-1000462","2016-01-29 15:21",65.0
"089-1000027","089-1000462","2016-02-28 00:27",438.0
